,Work_period_start,Work_period_end,Wiki_id
342,,,http://www.wikidata.org/entity/Q770376
343,"work period (start)
1962
1 reference",,http://www.wikidata.org/entity/Q539237
344,"work period (start)
2009
1 reference",,http://www.wikidata.org/entity/Q853292
345,,,http://www.wikidata.org/entity/Q893134
346,"work period (start)
1939
1 reference",,http://www.wikidata.org/entity/Q855128
347,,,http://www.wikidata.org/entity/Q724568
348,"work period (start)
2007
1 reference",,http://www.wikidata.org/entity/Q863745
349,,,http://www.wikidata.org/entity/Q558189
350,,,http://www.wikidata.org/entity/Q601272
351,"work period (start)
1994
1 reference",,http://www.wikidata.org/entity/Q702788
352,,,http://www.wikidata.org/entity/Q2762152
353,"work period (start)
1998
1 reference",,http://www.wikidata.org/entity/Q2220177
354,,,http://www.wikidata.org/entity/Q2162531
355,,,http://www.wikidata.org/entity/Q2364052
356,"work period (start)
1991
1 reference",,http://www.wikidata.org/entity/Q2344606
357,,,http://www.wikidata.org/entity/Q2049982
358,,,http://www.wikidata.org/entity/Q2107874
359,"work period (start)
2002
1 reference",,http://www.wikidata.org/entity/Q2049922
360,"work period (start)
2003
1 reference",,http://www.wikidata.org/entity/Q2051781
361,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q2051905
362,"work period (start)
1982
1 reference",,http://www.wikidata.org/entity/Q2050056
363,,,http://www.wikidata.org/entity/Q2050197
364,"work period (start)
2005
1 reference",,http://www.wikidata.org/entity/Q2050320
365,"work period (start)
1965
1 reference",,http://www.wikidata.org/entity/Q2051309
366,"work period (start)
2007
0 references",,http://www.wikidata.org/entity/Q2086574
367,"work period (start)
1992
1 reference",,http://www.wikidata.org/entity/Q2100285
368,,,http://www.wikidata.org/entity/Q2304092
369,"work period (start)
1998
1 reference",,http://www.wikidata.org/entity/Q2050788
370,"work period (start)
2010
1 reference",,http://www.wikidata.org/entity/Q2051637
371,,,http://www.wikidata.org/entity/Q2628657
372,,,http://www.wikidata.org/entity/Q2681568
373,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q2700181
374,"work period (start)
1957
1 reference",,http://www.wikidata.org/entity/Q2051296
375,"work period (start)
1971
1 reference",,http://www.wikidata.org/entity/Q2051336
376,"work period (start)
2006
edit
1 reference
add value",,http://www.wikidata.org/entity/Q2721485
377,,,http://www.wikidata.org/entity/Q2722170
378,,,http://www.wikidata.org/entity/Q2514244
379,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q2748506
380,"work period (start)
1987
1 reference",,http://www.wikidata.org/entity/Q2342144
381,,,http://www.wikidata.org/entity/Q2084789
382,,,http://www.wikidata.org/entity/Q2069891
383,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q2360082
384,"work period (start)
2004
1 reference",,http://www.wikidata.org/entity/Q2737601
385,,,http://www.wikidata.org/entity/Q2107247
386,"work period (start)
1980
1 reference",,http://www.wikidata.org/entity/Q2210343
387,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q2433720
388,,,http://www.wikidata.org/entity/Q2294941
389,,,http://www.wikidata.org/entity/Q2459573
390,"work period (start)
1996
1 reference",,http://www.wikidata.org/entity/Q2190753
391,,,http://www.wikidata.org/entity/Q2679233
392,"work period (start)
2000
1 reference",,http://www.wikidata.org/entity/Q2190510
393,"work period (start)
1950
edit
1 reference
add value",,http://www.wikidata.org/entity/Q2360377
394,,,http://www.wikidata.org/entity/Q2700318
395,"work period (start)
1972
0 references","work period (end)
2018
0 references",http://www.wikidata.org/entity/Q2721714
396,"work period (start)
2004
1 reference",,http://www.wikidata.org/entity/Q2721590
397,"work period (start)
1975
1 reference",,http://www.wikidata.org/entity/Q2721694
398,"work period (start)
1996
1 reference",,http://www.wikidata.org/entity/Q2722933
399,"work period (start)
2000
0 references",,http://www.wikidata.org/entity/Q2726196
400,"work period (start)
2001
1 reference",,http://www.wikidata.org/entity/Q2726352
401,,,http://www.wikidata.org/entity/Q2391584
402,"work period (start)
1999
1 reference",,http://www.wikidata.org/entity/Q2573055
403,,,http://www.wikidata.org/entity/Q2347167
404,"work period (start)
1986
1 reference",,http://www.wikidata.org/entity/Q2615641
405,"work period (start)
1972
1 reference",,http://www.wikidata.org/entity/Q2460693
406,"work period (start)
2008
1 reference",,http://www.wikidata.org/entity/Q2364996
407,"work period (start)
1970
1 reference",,http://www.wikidata.org/entity/Q2475653
408,,,http://www.wikidata.org/entity/Q2376253
409,,,http://www.wikidata.org/entity/Q2646553
410,"work period (start)
2012
1 reference",,http://www.wikidata.org/entity/Q2383191
