,imdb_id,debut_films
113,nm0659225,"[['1980', 'Ek Baar Phir (Once Again)', 'tt0249491'], ['1980', 'Ek Baar Phir (Once Again)', 'tt0249491'], ['1980', 'Ek Baar Phir (Once Again)', 'tt0249491'], ['1988', 'Ek Naya Rishta', 'tt0249492']]"
114,nm1518334,"[['2003', 'Dil Pardesi Ho Gayaa', 'tt0391079']]"
115,nm0784018,"[['1967', 'Tejimola', 'tt0230864'], ['2009', 'Abohomaan', 'tt1461674'], ['1995', 'Kakababu Here Gelen', 'tt5235020']]"
116,nm0664109,"[['1963', 'Kan Kan Men Bhagwan', 'tt0242570'], ['1986', 'Jaan-e-Alaam', 'tt0149472']]"
117,nm0814331,"[['1994', 'Shanti', 'tt0389681'], ['2011', 'Golden Petal Awards', 'tt13787728']]"
118,nm1683001,"[['1997', 'Bombay Blue', 'tt0165112'], ['2010', 'Indian Telly Awards', 'tt13794632'], ['2019', 'Yeh Hai Chahatein', 'tt11349960']]"
119,nm5750828,"[['2008', 'Dharam Veer', 'tt8765712'], ['', '35 mm', 'tt5125508'], ['2008', 'Indian Television Academy Awards', 'tt13826092']]"
120,nm1237063,"[['1989', 'De Dhadak Bedhadak', 'tt8938532']]"
121,nm0787474,"[['1976', 'Bonga', 'tt10497580'], ['2007', 'Om Shanti Om', 'tt1024943'], ['2007', 'Comedy Circus', 'tt11908432']]"
122,nm1280282,"[['1994', 'Banegi Apni Baat', 'tt1692200'], ['2021', 'The Socially Desi Show', 'tt12599178']]"
123,nm0407002,"[['1937', 'Qazzak Ki Ladki', 'tt1244116'], ['1989', 'Dost Garibon Ka', 'tt0359186'], ['1944', 'Taqrar', 'tt0216266']]"
124,nm0717374,"[['1958', 'Undercover Girl', 'tt0051130'], ['1967', 'Berserk', 'tt0061398'], ['1963', 'A Stitch in Time', 'tt0057530'], ['1964', 'World of Sport', 'tt0266207']]"
125,nm2129914,"[['1953', 'Ponkathir', 'tt0253495'], ['1965', 'Jeevitha Yaathra', 'tt0254446'], ['1953', 'Ponkathir', 'tt0253495']]"
126,nm3169060,"[['1996', 'Itihaas', 'tt6421022'], ['2005', 'Nach Baliye', 'tt1127012']]"
127,nm2799219,"[['2000-2001', 'Kutumb', 'tt0461877'], ['', 'Sammaan Ek Adhikaar', 'tt1920431'], ['2008', 'C Kkompany', 'tt1170399'], ['2003/II', 'Crime Patrol', 'tt1921518']]"
128,nm3571351,"[['2002', 'Kammal', 'tt7450528'], ['2009', 'Pati Patni Aur Woh', 'tt2943764']]"
129,nm4556716,"[['2010', 'Star One Horror Nights - Haunted Hospital', 'tt2008343'], ['2012', 'Indian Telly Awards', 'tt13794632']]"
130,nm4760359,"[['2005', 'Saath Rahega Always', 'tt9146034'], ['2010', 'Meethi Choori No 1', 'tt8002066']]"
131,nm0704667,"[['1993', 'Aankhen', 'tt0106204'], ['1989', 'Oonch Neech Beech', 'tt0359777'], ['2020', 'Yeh Corona Virus Hain Ki Jata Nahin with Pooja K', 'tt12249212'], ['2002', 'Heart Throbs: Hrithik Roshan World Tour Live', 'tt0332642']]"
132,nm0415851,"[['1930', 'Jagmagti Jawani', 'tt0236332'], ['1995', 'Takkar', 'tt0135666'], ['1945', 'Pratima', 'tt0448690'], ['1976', 'Bairaag', 'tt0371558']]"
133,nm0004416,"[['1967', 'Sri Sri Sri Maryada Ramanna', 'tt0290871'], ['1969', 'Manushulu Marali', 'tt0325787'], ['1981', 'Raaja Paarvai', 'tt0274026'], ['1977', 'Kanya Kumari', 'tt0262538']]"
134,nm0004576,"[['1960/I', 'Bhakta Shabari', 'tt0247206'], ['1973', 'Bangaru Babu', 'tt0263099']]"
135,nm0045138,"[['1990', 'Jagadeka Veerudu Athiloka Sundari', 'tt0187178']]"
136,nm2466419,"[['2006', 'Null Eins', 'tt1274591'], ['2013', 'Movie Friends: Prashant Prabhakar', 'tt2914030'], ['2020', 'Bauchgefühl', 'tt11947530'], ['2010', 'Das perfekte Dinner', 'tt1448074']]"
137,nm3837488,"[['2001', 'Jipuna Nanna Ganda', 'tt14728396']]"
138,nm1685564,"[['1966', 'Thattungal Thirakkapadum', 'tt3460796']]"
139,nm0080279,"[['1950', 'Chandrika', 'tt0251011'], ['1954', 'Neelakkuyil', 'tt0155906'], ['1953', 'Thiramala', 'tt0253804'], ['1962', 'Bhagya Jathakam', 'tt0155542']]"
140,nm0438503,"[['1995', 'Prem', 'tt0114175'], ['1980', 'Hum Paanch', 'tt0080901'], ['1993', 'Roop Ki Rani Choron Ka Raja', 'tt0107986'], ['2020', ""It's My Life"", 'tt13404870']]"
141,nm0481570,"[['1940', 'Byabadhan', 'tt0157431'], ['1932', 'Ekada', 'tt0155692']]"
142,nm0332871,"[['1986', 'Love 86', 'tt0359619'], ['1989', 'Billoo Baadshah', 'tt0242314'], ['1988', 'Hatya', 'tt0363666'], ['1989', 'Billoo Baadshah', 'tt0242314']]"
143,nm4760510,"[['2010', 'Rakt Sambandh', 'tt7905502'], ['2011', 'Indian Television Academy Awards', 'tt13826092']]"
144,nm4043457,"[['1995', 'Mano Ya Na Mano', 'tt7431572'], ['2012', 'Chhal - Sheh Aur Maat', 'tt7871858'], ['2012', 'Chhal - Sheh Aur Maat', 'tt7871858']]"
145,nm0899801,"[['1961', 'Punasha', 'tt0055341']]"
146,nm3983956,"[['2007', ""I'm in Love"", 'tt8281084'], ['2008', 'Fear Factor: Khatron Ke Khiladi', 'tt6742294'], ['2020', 'BIG BOSS BIGG BOSS BIG BOSS PART 2', 'tt11792060']]"
147,nm4381753,"[['2008', 'Jiya Jale', 'tt1868674'], ['2016', 'Naagin', 'tt5323298'], ['2010', 'Meethi Choori No 1', 'tt8002066']]"
148,nm0007107,"[['1977', 'Karm', 'tt0158698'], ['2007', 'Om Shanti Om', 'tt1024943'], ['2004', '49th Manikchand Filmfare Awards 2003', 'tt0397233']]"
149,nm0080167,"[['1940', 'Jnanambika', 'tt0251754']]"
150,nm2203296,"[['2004', 'Beyond Honor', 'tt0396502']]"
151,nm0536708,"[['1985', 'Vahinichi Maya', 'tt1192473'], ['1995', 'Yaraana', 'tt0115009'], ['1999', 'Bhopal Express', 'tt0281656'], ['2000', 'Rhythm', 'tt0285993']]"
152,nm1153351,"[['1963', 'Rustom-E-Baghdad', 'tt0778828']]"
153,nm1819742,"[['1999', 'Udayapuram Sulthan', 'tt0255660'], ['2003', 'Pithamagan', 'tt0376076'], ['2004', 'Poochho Mere Dil Se', 'tt0482243']]"
154,nm0838517,"[['1979', 'Samajaniki Saval', 'tt0281162'], ['2010', 'Bathuku Jataka Bandi', 'tt10127370'], ['2018', 'Bigg Boss Kannada', 'tt2911448']]"
155,nm0613512,"[['1976', 'Romeo', 'tt0282128'], ['1990', 'Aaram Vardil Aabhayandhara Kalakam', 'tt0278273'], ['1993', 'Bhoomi Geetham', 'tt0353236']]"
156,nm0438488,"[['1981', 'Hari Hondal Bargadar : Share Cropper', 'tt6049174'], ['1999', 'Drishtaant', 'tt4981820'], ['2004', 'Sau Jhooth Ek Sach', 'tt0453842'], ['2005', 'Sehar', 'tt0477857']]"
157,nm0015459,"[['1986', 'Jungle Rowdy', 'tt4984634'], ['1980', 'Buchi Babu', 'tt0262309'], ['1999', 'Sitaramaraju', 'tt1601224'], ['1999', 'Sitaramaraju', 'tt1601224']]"
158,nm0746987,"[['1971', 'Kuheli', 'tt1275692'], ['2009', 'Abohomaan', 'tt1461674'], ['2013', 'Swabhoomi', 'tt3209244']]"
159,nm0593971,"[['1949', 'Sandipan Pathshala', 'tt0244180'], ['1998', 'Dahan', 'tt0143202']]"
160,nm0837674,"[['1963', 'Sati Shakthi', 'tt1414567'], ['2005', 'Kochi Rajavu', 'tt0448225'], ['', 'Shades of Grey: The Cinema of K. Balachander', 'tt2112260']]"
161,nm0415773,"[['2002', 'Bagavathi', 'tt2325539'], ['2005', 'Bluffmaster!', 'tt0476527'], ['1994', 'Prem Yog', 'tt0362986'], ['2018', 'Jarugandi', 'tt7968500']]"
162,nm0839634,"[['1999', 'Pyaar Mein Kabhi Kabhi...', 'tt0275608'], ['2005', 'My Brother... Nikhil', 'tt0419992'], ['', 'Melghat Chronicles', 'tt6778366'], ['2014', 'After the Third Bell', 'tt3526430']]"
163,nm0707951,"[['1939', 'Vara Vikrayam', 'tt0255669'], ['1939', 'Vara Vikrayam', 'tt0255669'], ['1953/II', 'Chandirani', 'tt0260791'], ['1947', 'Ratnamala', 'tt0259535']]"
164,nm0201918,"[['1999', 'Mudhalvan', 'tt0220656'], ['1999', 'Mudhalvan', 'tt0220656'], ['2000', 'Hey Ram', 'tt0222012'], ['2014', 'Paranthe Wali Gali', 'tt2907156']]"
165,nm1307939,"[['2001', 'Soothradharan', 'tt0314744'], ['2016', '10 Kalpanakal', 'tt6260318'], ['2016', '10 Kalpanakal', 'tt6260318']]"
166,nm1163179,"[['2002', 'Yeh Kaisi Mohabbat', 'tt0316911'], ['1994', 'Miss Universe Pageant', 'tt0110533'], ['2001', 'Alles komt terug', 'tt0297486']]"
167,nm0811794,"[['1972', 'Amar Prem', 'tt0066758']]"
