,wiki_id
993,Q455568
654,Q455749
504,Q457279
71,Q4573
419,Q457493
1144,Q457497
26,Q45772
870,Q457864
1687,Q458458
692,Q458815
1137,Q459177
1667,Q459551
1478,Q459556
905,Q459814
1782,Q460045
430,Q460144
266,Q460277
1459,Q460376
515,Q460662
734,Q460684
385,Q461529
1264,Q462027
1888,Q462572
1494,Q462905
625,Q463119
197,Q4636
931,Q463883
128,Q464169
1741,Q464764
1437,Q466666
2019,Q466680
810,Q467027
700,Q4678938
725,Q468339
958,Q470040
302,Q471309
1421,Q4717050
628,Q4723204
1372,Q472951
1486,Q4731669
1431,Q473475
1235,Q47498703
1282,Q47498718
1416,Q47503052
1078,Q47528380
961,Q4758985
54,Q47664
1000,Q4767409
987,Q4768661
1312,Q4772583
1703,Q4795252
1789,Q4799463
791,Q4804067
1645,Q4829042
23,Q483118
58,Q48337
51,Q484523
1481,Q4864769
862,Q486883
1058,Q48703391
1658,Q487090
967,Q487136
1065,Q487136
1089,Q487136
1206,Q487136
1266,Q487136
1365,Q487136
1292,Q487355
2202,Q4886448
1686,Q4889043
1854,Q48910446
289,Q48987
1755,Q4899402
802,Q489951
170,Q49001
595,Q490198
1749,Q4910718
1389,Q4911227
1559,Q4911249
1038,Q4911333
214,Q491314
1030,Q4913471
2096,Q4932504
1987,Q4933420
923,Q49440371
458,Q495321
149,Q495980
710,Q497075
520,Q4980101
1344,Q500259
736,Q502923
786,Q502957
1151,Q503480
2030,Q504191
1062,Q50474841
1745,Q505035
2075,Q505108
1691,Q505114
1705,Q505353
1861,Q505498
1890,Q5056194
2131,Q505629
1334,Q505675
662,Q505940
1072,Q506001
1447,Q506014
1870,Q506155
793,Q506268
1382,Q506302
1587,Q506304
1466,Q506404
1410,Q506734
1460,Q506766
452,Q506885
1794,Q506888
1532,Q506995
1580,Q507122
1723,Q507137
1076,Q507252
1177,Q507423
1878,Q507485
1099,Q5075343
1632,Q5078430
1164,Q507861
1357,Q508242
1901,Q508351
613,Q508660
946,Q508973
844,Q509015
2117,Q509635
941,Q509671
1530,Q509701
1096,Q509948
1327,Q5106410
2076,Q5106721
1050,Q5107004
408,Q5107464
1021,Q5107534
132,Q510970
583,Q5110079
308,Q51114
1246,Q511446
1149,Q512041
1384,Q512224
1220,Q5125353
1899,Q5126544
1186,Q5127380
1817,Q512775
1354,Q513356
1704,Q513410
1835,Q513625
1018,Q5145136
489,Q51490
401,Q51491
156,Q51492
379,Q51495
498,Q51503
198,Q51506
211,Q51522
323,Q51525
511,Q515274
1626,Q515294
407,Q51535
270,Q51537
274,Q51547
163,Q51552
187,Q51566
441,Q51570
267,Q51575
423,Q51577
251,Q51582
409,Q51583
1239,Q515883
746,Q516092
1783,Q516566
1719,Q516683
1520,Q516764
1859,Q516780
792,Q517040
1680,Q517831
1732,Q518558
895,Q518905
2053,Q519207
661,Q519473
1542,Q5203158
593,Q520346
2110,Q521379
1975,Q5217339
936,Q5217943
2160,Q5218087
1818,Q5222779
777,Q522288
1843,Q5231372
2011,Q5234232
2029,Q5234993
1422,Q5237001
1908,Q5239953
903,Q5240862
505,Q52411
1006,Q5246414
2052,Q5248446
546,Q5249738
1668,Q5256332
2026,Q5258165
1886,Q5261791
1157,Q5265169
1419,Q526861
1015,Q526865
1491,Q527052
907,Q5273379
1318,Q5273554
478,Q528058
2138,Q5290941
2021,Q5292521
1692,Q5293041
832,Q529696
743,Q529780
1549,Q5300430
1392,Q5300549
686,Q53006
355,Q53009
1969,Q5301998
1848,Q5302109
247,Q531599
1356,Q5318819
2204,Q5325990
1409,Q5335230
1381,Q5345448
1203,Q534825
1445,Q534994
765,Q5362559
1728,Q536264
633,Q536884
1918,Q537520
915,Q537808
1150,Q538824
1270,Q539263
1034,Q5393137
1947,Q5393656
1715,Q5394805
1390,Q539757
1315,Q539765
1713,Q5407284
507,Q540784
795,Q541608
1004,Q541621
1193,Q541868
954,Q542167
847,Q5423349
1217,Q542481
1293,Q543171
1280,Q543179
984,Q543498
1232,Q543506
1553,Q544350
121,Q544465
1120,Q544620
825,Q544658
1093,Q544960
350,Q545573
414,Q546204
1468,Q546453
483,Q547495
1438,Q5491692
1729,Q5494048
764,Q55070915
1316,Q551678
705,Q55230
173,Q55245
1179,Q5525833
335,Q55260
346,Q55264
448,Q55303
1994,Q5531515
813,Q5534603
1699,Q5539579
1420,Q5539681
1884,Q5539947
192,Q55400
1850,Q5541086
459,Q55420
359,Q55428
1733,Q5546145
831,Q555910
300,Q55796
1971,Q5585524
484,Q56011
427,Q56014
166,Q56016
2059,Q5606950
262,Q5608
158,Q56094
129,Q56095
217,Q56095
888,Q562874
846,Q568245
1184,Q568941
1547,Q570352
2000,Q571348
592,Q573164
1926,Q5735121
814,Q573813
869,Q579550
405,Q585668
1131,Q586320
1129,Q587741
1119,Q58814632
1456,Q58814632
942,Q588246
446,Q588745
1653,Q588933
1007,Q589483
503,Q59085
316,Q59129
203,Q591785
82,Q59215
1846,Q5925991
115,Q59314
1040,Q5948227
712,Q59525
381,Q59821
318,Q59824
1814,Q5983040
1760,Q599840
2175,Q6014455
634,Q60191900
1047,Q602779
2121,Q603470
1028,Q607280
581,Q60784779
614,Q60842615
493,Q6092676
821,Q6106999
2194,Q6112282
2203,Q6113228
1595,Q6115256
2020,Q6115344
555,Q611586
562,Q611672
945,Q6123672
2043,Q61269467
1108,Q61269987
1332,Q6129717
1834,Q6131726
632,Q6139878
1655,Q6173303
678,Q61740820
763,Q61740820
1863,Q6175927
1552,Q6176209
573,Q6178529
1340,Q6182734
1973,Q6183560
645,Q6187572
1234,Q6193924
1408,Q6194863
600,Q6199802
773,Q62099
2218,Q6217561
1075,Q6224742
2145,Q6228949
1773,Q6235705
1601,Q6245206
1074,Q6248706
1648,Q6248943
537,Q62503
770,Q6261809
1874,Q6262155
1305,Q6263043
1121,Q6272244
525,Q6272528
938,Q6274324
637,Q6289383
471,Q6317989
1469,Q634059
1249,Q6373828
1010,Q6379685
1906,Q6388685
1716,Q6390383
